<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,155700,62421,62432,62312,62314,6600
SPFB.Si,1,20220601,155800,62315,62344,62279,62296,5496
SPFB.Si,1,20220601,155900,62296,62300,62250,62277,3162
SPFB.Si,1,20220601,160000,62277,62280,62216,62229,3257
SPFB.Si,1,20220601,160100,62228,62274,62180,62189,4878
SPFB.Si,1,20220601,160200,62183,62239,62179,62230,2341
SPFB.Si,1,20220601,160300,62228,62277,62219,62277,3186
SPFB.Si,1,20220601,160400,62277,62297,62226,62233,2558
SPFB.Si,1,20220601,160500,62226,62272,62225,62264,1413
SPFB.Si,1,20220601,160600,62263,62280,62228,62259,2624
SPFB.Si,1,20220601,160700,62257,62279,62252,62260,940
SPFB.Si,1,20220601,160800,62257,62257,62154,62157,4392
SPFB.Si,1,20220601,160900,62157,62158,62101,62108,4841
SPFB.Si,1,20220601,161000,62108,62140,62087,62095,3833
SPFB.Si,1,20220601,161100,62095,62121,62057,62099,4118
SPFB.Si,1,20220601,161200,62097,62097,62049,62072,3562
SPFB.Si,1,20220601,161300,62075,62077,62004,62030,3923
SPFB.Si,1,20220601,161400,62030,62067,62005,62010,2440
SPFB.Si,1,20220601,161500,62007,62019,61970,61986,6228
SPFB.Si,1,20220601,161600,61986,62022,61978,62016,3437
SPFB.Si,1,20220601,161700,62020,62023,61945,61996,6183
SPFB.Si,1,20220601,161800,61998,62038,61986,62016,3793
SPFB.Si,1,20220601,161900,62019,62078,62015,62047,4019
SPFB.Si,1,20220601,162000,62044,62045,61886,61953,8211
SPFB.Si,1,20220601,162100,61953,61987,61920,61965,3000
SPFB.Si,1,20220601,162200,61960,61990,61960,61982,1458
SPFB.Si,1,20220601,162300,61982,62000,61969,62000,1363
SPFB.Si,1,20220601,162400,61996,62026,61986,62005,2379
SPFB.Si,1,20220601,162500,62010,62012,61950,61950,2259
SPFB.Si,1,20220601,162600,61950,61965,61872,61890,6510
SPFB.Si,1,20220601,162700,61889,61939,61880,61901,2050
SPFB.Si,1,20220601,162800,61900,61943,61892,61916,2218
SPFB.Si,1,20220601,162900,61911,61939,61907,61916,1330
SPFB.Si,1,20220601,163000,61914,62008,61911,61994,2859
SPFB.Si,1,20220601,163100,61990,62047,61972,62015,4642
SPFB.Si,1,20220601,163200,62016,62050,61933,61934,3267
SPFB.Si,1,20220601,163300,61936,61968,61925,61930,1983
SPFB.Si,1,20220601,163400,61936,61954,61914,61940,1390
SPFB.Si,1,20220601,163500,61942,61986,61931,61967,1837
SPFB.Si,1,20220601,163600,61963,61979,61907,61910,1430
SPFB.Si,1,20220601,163700,61910,61936,61886,61923,4091
SPFB.Si,1,20220601,163800,61923,61965,61919,61938,1259
SPFB.Si,1,20220601,163900,61939,61941,61899,61937,1241
SPFB.Si,1,20220601,164000,61937,61937,61907,61924,653
SPFB.Si,1,20220601,164100,61920,61947,61915,61947,1205
SPFB.Si,1,20220601,164200,61947,61950,61928,61942,964
SPFB.Si,1,20220601,164300,61942,61973,61935,61963,1494
SPFB.Si,1,20220601,164400,61961,61974,61940,61974,1622
SPFB.Si,1,20220601,164500,61972,61974,61950,61960,687
SPFB.Si,1,20220601,164600,61957,61961,61946,61955,460
SPFB.Si,1,20220601,164700,61958,61964,61930,61942,1148
SPFB.Si,1,20220601,164800,61942,61948,61901,61914,1742
SPFB.Si,1,20220601,164900,61909,61926,61870,61909,4069
SPFB.Si,1,20220601,165000,61919,61941,61900,61904,1446
SPFB.Si,1,20220601,165100,61905,61934,61892,61910,1606
SPFB.Si,1,20220601,165200,61910,61947,61907,61933,1286
SPFB.Si,1,20220601,165300,61933,61974,61922,61953,1969
SPFB.Si,1,20220601,165400,61952,62135,61950,62081,9394
SPFB.Si,1,20220601,165500,62076,62079,61988,62020,3441
SPFB.Si,1,20220601,165600,62015,62065,61989,62059,2714
SPFB.Si,1,20220601,165700,62064,62078,62015,62057,2048
SPFB.Si,1,20220601,165800,62061,62094,62006,62007,2433
SPFB.Si,1,20220601,165900,62007,62037,62006,62027,533
SPFB.Si,1,20220601,170000,62027,62047,62025,62039,641
SPFB.Si,1,20220601,170100,62039,62066,62030,62056,1246
SPFB.Si,1,20220601,170200,62056,62057,62021,62033,1623
SPFB.Si,1,20220601,170300,62031,62040,61971,61999,2967
SPFB.Si,1,20220601,170400,61993,62035,61993,62025,2185
SPFB.Si,1,20220601,170500,62018,62025,61943,61968,2678
SPFB.Si,1,20220601,170600,61969,61980,61946,61949,1378
SPFB.Si,1,20220601,170700,61950,61950,61921,61943,1967
SPFB.Si,1,20220601,170800,61948,61970,61939,61966,943
SPFB.Si,1,20220601,170900,61966,61994,61943,61951,988
SPFB.Si,1,20220601,171000,61951,61987,61942,61986,1233
SPFB.Si,1,20220601,171100,61986,62050,61970,62033,2591
SPFB.Si,1,20220601,171200,62034,62041,62000,62012,1151
SPFB.Si,1,20220601,171300,62012,62020,61969,62014,1380
SPFB.Si,1,20220601,171400,62009,62180,62008,62154,7621
